rank,name,combined,impact,journals,currency,cases,scope,editing,format
330,Southern Illinois University Law Journal,4.35,0.21,72,0.41,2,General,Student-Edited,Print
331,Wake Forest Journal of Law and Policy,4.34,0.24,65,0.56,3,Specialized,Student-Edited,Print
332,Family Court Review,4.30,0.09,106,0.24,2,Specialized,Refereed,Print
333,SMU Science and Technology Law Review,4.28,0.29,49,0.41,1,Specialized,Student-Edited,Print
334,Food and Drug Law Journal,4.27,0.25,59,0.41,0,Specialized,Refereed,Print
335,South Dakota Law Review,4.25,0.19,75,0.26,2,General,Student-Edited,Print
336,Environmental Law Reporter,4.23,0.10,103,0.32,1,Specialized,Peer-Edited,Print
337,Indiana Health Law Review,4.22,0.20,71,0.31,0,Specialized,Student-Edited,Print
338,Federal Courts Law Review,4.21,0.38,18,0.88,8,Specialized,Refereed,Print
339,Columbia Journal of Law and Social Problems,4.15,0.20,70,0.31,6,Specialized,Student-Edited,Print
340,Marquette Sports Law Review,4.15,0.20,69,0.23,1,Specialized,Student-Edited,Print
341,Case Western Reserve Journal of International Law,4.10,0.20,69,0.39,1,Specialized,Student-Edited,Print
342,Minnesota Journal of Law & Inequality,4.10,0.25,55,0.58,0,Specialized,Student-Edited,Print
343,Urban Lawyer,4.08,0.29,43,0.63,1,Specialized,Student-Edited,Print
344,Yale Journal of Law & the Humanities,4.08,0.22,62,0.22,0,Specialized,Student-Edited,Print
345,Oxford Journal of Legal Studies,4.04,0.13,86,0.20,1,Specialized,Refereed,Print
346,Santa Clara Journal of International Law,4.04,0.32,33,0.68,0,Specialized,Student-Edited,Print
347,University of Detroit Mercy Law Review,4.04,0.25,52,0.32,3,General,Student-Edited,Print
348,Albany Law Journal of Science & Technology,4.02,0.28,44,0.45,1,Specialized,Student-Edited,Print
349,University of Toledo Law Review,4.02,0.16,77,0.32,5,General,Student-Edited,Print
350,Touro Law Review,3.98,0.11,91,0.18,2,General,Student-Edited,Print
351,Northern Illinois University Law Review,3.97,0.27,45,0.30,1,General,Student-Edited,Print
352,Suffolk University Law Review,3.94,0.19,65,0.21,3,General,Student-Edited,Print
353,ABA Journal of Labor & Employment Law,3.91,0.22,56,0.26,1,Specialized,Peer-Edited,Print
354,Journal of Law & Education,3.90,0.24,52,0.47,0,Specialized,Student-Edited,Print
355,UC Davis Business Law Journal [online],3.87,0.24,51,0.27,1,Specialized,Student-Edited,Online
356,Elder Law Journal,3.85,0.24,49,0.64,1,Specialized,Student-Edited,Print
357,Journal of Business & Technology Law,3.83,0.21,56,0.35,0,Specialized,Student-Edited,Print
358,Washington Law Review Online [online],3.82,0.33,21,0.33,0,General,Student-Edited,Online
359,Kansas Journal of Law & Public Policy,3.80,0.23,52,0.36,0,Specialized,Student-Edited,Print
360,Energy Law Journal,3.79,0.18,66,0.35,0,Specialized,Refereed,Print
361,American University International Law Review,3.77,0.17,66,0.34,1,Specialized,Student-Edited,Print
362,Law & Ethics of Human Rights,3.77,0.26,40,0.42,0,Specialized,Refereed,Print
363,Capital University Law Review,3.76,0.21,55,0.32,5,General,Student-Edited,Print
364,Mercer Law Review,3.73,0.09,89,0.27,3,General,Student-Edited,Print
365,"Psychology, Public Policy, and Law",3.73,0.13,76,0.23,9,Specialized,Refereed,Print
366,Regent University Law Review,3.73,0.21,54,0.47,1,General,Student-Edited,Print
367,UCLA Entertainment Law Review [online],3.69,0.28,33,0.44,0,Specialized,Student-Edited,Online
368,Harvard Human Rights Journal,3.68,0.26,37,0.67,0,Specialized,Student-Edited,Print
369,Journal of Legislation,3.62,0.22,49,0.22,11,Specialized,Student-Edited,Print
370,Review of Litigation,3.62,0.23,44,0.27,4,Specialized,Student-Edited,Print
371,Regulation & Governance,3.59,0.09,84,0.13,0,Specialized,Refereed,Print
372,"Journal of Law, Economics and Organization",3.53,0.19,55,0.22,1,Specialized,Student-Edited,Print
373,International and Comparative Law Quarterly,3.48,0.11,75,0.16,0,Specialized,Refereed,Print
374,Delaware Journal of Corporate Law,3.42,0.18,54,0.22,3,Specialized,Student-Edited,Print
375,Creighton Law Review,3.41,0.14,63,0.19,4,General,Student-Edited,Print
376,World Trade Review,3.41,0.10,76,0.16,0,Specialized,Refereed,Print
377,Law and Psychology Review,3.35,0.24,35,0.65,0,Specialized,Student-Edited,Print
378,Cardozo International & Comparative Law Review,3.34,0.18,52,0.24,2,Specialized,Student-Edited,Print
379,Law Library Journal,3.34,0.14,63,0.21,1,Specialized,Peer-Edited,Print
380,Modern Law Review,3.33,0.06,85,0.09,0,General,Refereed,Print
381,University of Hawaii Law Review,3.33,0.18,50,0.32,2,General,Student-Edited,Print
382,Columbia Journal of Environmental Law,3.31,0.27,23,0.58,0,Specialized,Student-Edited,Print
383,European Journal of Risk Regulation,3.30,0.07,82,0.26,0,Specialized,Refereed,Print
384,Wayne Law Review,3.28,0.16,54,0.23,5,General,Student-Edited,Print
385,Human Rights Law Review,3.27,0.11,70,0.16,0,Specialized,Refereed,Print
386,Minnesota Journal of International Law,3.25,0.21,39,0.47,0,Specialized,Student-Edited,Print
387,University of Florida Journal of Law and Public Policy,3.23,0.14,59,0.19,7,Specialized,Student-Edited,Print
388,ABA Journal,NR,NR,NR,NR,NR,Specialized,Peer-Edited,Print
389,Aberdeen Student Law Review,NR,NR,NR,NR,NR,General,Student-Edited,Print
390,"Accounting, Economics, and Law: A Convivium [online]",NR,NR,NR,NR,NR,Specialized,Peer-Edited,Online
391,ACS Supreme Court Review [online],NR,NR,NR,NR,NR,Specialized,Peer-Edited,Online
392,Acta Juridica,NR,NR,NR,NR,NR,Specialized,Peer-Edited,Print
393,Acta Juridica Hungarica,NR,NR,NR,NR,NR,Specialized,Refereed,Print
394,Adelaide Law Review,NR,NR,NR,NR,NR,General,Refereed,Print
395,Advance: The Journal of the ACS Issue Groups,NR,NR,NR,NR,NR,Specialized,Peer-Edited,Print
396,Advocates' Quarterly,NR,NR,NR,NR,NR,Specialized,Peer-Edited,Print
397,African Human Rights Law Journal,NR,NR,NR,NR,NR,Specialized,Refereed,Print
398,African Journal of International and Comparative Law,NR,NR,NR,NR,NR,Specialized,Refereed,Print
399,African Journal of Legal Studies,NR,NR,NR,NR,NR,Specialized,Refereed,Print
400,African Yearbook of International Law,NR,NR,NR,NR,NR,Specialized,Peer-Edited,Print
