rank,name,combined,impact,journals,currency,cases,scope,editing,format
45,Journal of Criminal Law and Criminology,26.41,1.57,360,3.23,13,Specialized,Student-Edited,Print
46,Alabama Law Review,26.27,1.22,456,1.91,18,General,Student-Edited,Print
47,Harvard Journal of Law & Technology,26.17,1.60,344,2.36,4,Specialized,Student-Edited,Print
48,Administrative Law Review,25.74,1.32,411,1.68,9,Specialized,Student-Edited,Print
49,Arizona Law Review,25.56,1.20,440,1.87,11,General,Student-Edited,Print
50,Harvard Journal of Law & Public Policy,25.13,1.12,450,2.08,23,Specialized,Student-Edited,Print
51,Utah Law Review,25.09,1.08,459,1.70,4,General,Student-Edited,Print
52,American University Law Review,24.70,0.90,501,1.51,3,General,Student-Edited,Print
53,Lewis & Clark Law Review,24.57,1.25,395,2.44,6,General,Student-Edited,Print
54,Stanford Law Review Online [online],23.80,1.45,314,3.20,8,General,Student-Edited,Online
55,Columbia Journal of Race and Law [online],22.91,1.72,206,2.45,4,Specialized,Student-Edited,Online
56,Connecticut Law Review,22.53,0.85,447,1.41,4,General,Student-Edited,Print
57,Maryland Law Review,22.43,0.88,437,1.60,18,General,Student-Edited,Print
58,Washington and Lee Law Review,22.16,0.75,466,0.99,10,General,Student-Edited,Print
59,Virginia Law Review Online [online],21.63,1.38,265,2.32,5,General,Student-Edited,Online
60,Journal of Corporation Law,21.07,0.89,393,1.54,6,Specialized,Student-Edited,Print
61,University of Pennsylvania Journal of Business Law,20.80,1.29,266,2.10,5,Specialized,Student-Edited,Print
62,University of Pennsylvania Law Review Online [online],20.74,1.59,179,3.65,2,General,Student-Edited,Online
63,Stanford Technology Law Review [online],20.69,1.62,169,3.33,0,Specialized,Student-Edited,Online
64,Buffalo Law Review,20.64,0.85,389,1.51,20,General,Student-Edited,Print
65,American Journal of International Law,20.26,0.41,506,1.06,1,Specialized,Peer-Edited,Print
66,Yale Journal of Law & Technology [online],19.99,1.24,258,1.71,3,Specialized,Student-Edited,Online
67,Wake Forest Law Review,19.73,0.83,368,1.36,10,General,Student-Edited,Print
68,Harvard Civil Rights-Civil Liberties Law Review,19.43,1.07,289,2.57,3,Specialized,Student-Edited,Print
69,Duke Journal of Constitutional Law & Public Policy,19.24,1.42,180,2.12,5,Specialized,Student-Edited,Print
70,Stanford Journal of Civil Rights and Civil Liberties,19.04,1.31,206,2.44,2,Specialized,Student-Edited,Print
71,Houston Law Review,19.03,0.68,389,0.96,10,General,Student-Edited,Print
72,SMU Law Review,18.75,0.74,364,1.15,9,General,Student-Edited,Print
73,Arizona State Law Journal,18.33,0.67,372,1.15,13,General,Student-Edited,Print
74,"Yale Journal of Health Policy, Law, and Ethics",18.12,1.41,149,2.58,0,Specialized,Refereed,Print
75,University of Colorado Law Review,17.37,0.75,318,1.46,4,General,Student-Edited,Print
76,American Business Law Journal,17.36,1.00,245,1.59,6,Specialized,Refereed,Print
77,Law and Contemporary Problems,17.15,0.55,369,1.13,11,Specialized,Student-Edited,Print
78,Berkeley Technology Law Journal,17.14,0.96,249,1.77,4,Specialized,Student-Edited,Print
79,Harvard Law & Policy Review,17.02,1.11,204,1.76,5,Specialized,Student-Edited,Print
80,Brooklyn Law Review,16.48,0.64,322,0.92,5,General,Student-Edited,Print
81,Nevada Law Journal,16.23,0.76,280,1.19,4,General,Student-Edited,Print
82,Brigham Young University Law Review,16.16,0.62,318,0.85,6,General,Student-Edited,Print
83,Harvard International Law Journal,16.04,1.05,189,1.61,0,Specialized,Student-Edited,Print
84,Columbia Human Rights Law Review,15.92,0.85,244,1.40,5,Specialized,Student-Edited,Print
85,"Stanford Journal of Law, Business & Finance",15.90,1.20,142,1.95,1,Specialized,Student-Edited,Print
86,Columbia Business Law Review,15.80,0.68,291,1.03,3,Specialized,Student-Edited,Print
87,Cato Supreme Court Review,15.70,0.90,223,1.32,8,Specialized,Peer-Edited,Print
88,American Criminal Law Review,15.69,0.52,332,1.03,16,Specialized,Student-Edited,Print
89,Seton Hall Law Review,15.67,0.49,340,0.80,12,General,Student-Edited,Print
90,Michigan Journal of Race & Law,15.28,1.07,160,1.46,1,Specialized,Student-Edited,Print
91,Harvard Journal on Legislation,15.22,1.03,170,1.84,3,Specialized,Student-Edited,Print
92,Business Lawyer,15.19,0.31,379,0.70,24,Specialized,Student-Edited,Print
93,Journal of Legal Analysis,15.18,1.03,168,2.73,2,Specialized,Refereed,Print
94,New York University Law Review Online [online],14.93,1.00,170,1.33,8,General,Student-Edited,Online
95,Fordham Urban Law Journal,14.83,0.51,308,1.03,10,Specialized,Student-Edited,Print
96,New York University Review of Law & Social Change,14.79,0.93,186,1.23,1,Specialized,Student-Edited,Print
97,Michigan State Law Review,14.46,0.79,216,1.29,3,General,Student-Edited,Print
98,Tulane Law Review,14.18,0.59,265,0.98,8,General,Student-Edited,Print
99,Villanova Law Review,14.15,0.60,262,1.19,8,General,Student-Edited,Print
100,Washington University Journal of Law and Policy,14.15,0.52,286,1.01,1,Specialized,Student-Edited,Print
101,UCLA Law Review Discourse [online],13.92,0.69,229,1.89,8,General,Student-Edited,Online
102,University of Richmond Law Review,13.85,0.55,268,0.96,13,General,Student-Edited,Print
103,Oklahoma Law Review,13.84,0.61,250,1.11,5,General,Student-Edited,Print
104,William & Mary Bill of Rights Journal,13.79,0.65,236,1.00,9,Specialized,Student-Edited,Print
105,University of Pennsylvania Journal of Constitutional Law,13.75,0.66,232,0.97,3,Specialized,Student-Edited,Print
106,Harvard Journal of Law & Gender,13.65,1.06,114,1.91,1,Specialized,Student-Edited,Print
107,Denver Law Review,13.61,0.65,231,1.12,3,General,Student-Edited,Print
108,Marquette Law Review,13.57,0.63,236,1.28,8,General,Student-Edited,Print
109,George Mason Law Review,13.56,0.48,279,0.74,13,General,Student-Edited,Print
110,City University of New York (CUNY) Law Review,13.28,0.93,140,1.41,4,General,Student-Edited,Print
111,DePaul Law Review,13.20,0.51,258,1.31,4,General,Student-Edited,Print
112,Michigan Technology Law Review,13.12,0.97,124,1.67,1,Specialized,Student-Edited,Print
113,Yale Journal of International Law,13.08,1.00,113,2.35,0,Specialized,Student-Edited,Print
114,Yale Law & Policy Review,12.96,0.86,149,1.79,4,Specialized,Student-Edited,Print
115,Temple Law Review,12.94,0.59,228,1.10,1,General,Student-Edited,Print
116,Minnesota Law Review Headnotes [online],12.88,0.80,165,1.52,6,General,Student-Edited,Online
117,Columbia Law Review Forum [online],12.87,0.88,140,1.69,2,General,Student-Edited,Online
118,Georgetown Journal of Law & Public Policy,12.73,0.52,242,0.88,5,Specialized,Student-Edited,Print
119,Northwestern University Law Review Online [online],12.40,0.81,148,2.19,3,General,Student-Edited,Online
120,University of Michigan Journal of Law Reform,12.39,0.62,202,0.97,14,Specialized,Student-Edited,Print
121,Virginia Journal of International Law,12.32,0.74,166,1.49,2,Specialized,Student-Edited,Print
122,Loyola Law Review,12.30,0.76,158,1.36,5,General,Student-Edited,Print
123,Ohio State Journal of Criminal Law,12.30,0.66,187,1.33,5,Specialized,Refereed,Print
124,University of Chicago Legal Forum,12.27,0.70,174,1.17,4,Specialized,Student-Edited,Print
125,Penn State Law Review,12.15,0.57,209,0.79,10,General,Student-Edited,Print
126,Georgetown Journal of Legal Ethics,12.03,0.41,252,0.61,5,Specialized,Student-Edited,Print
127,"Journal of Law, Medicine & Ethics",11.96,0.21,309,0.39,9,Specialized,Refereed,Print
128,Columbia Journal of Law & the Arts,11.84,0.60,191,1.06,1,Specialized,Student-Edited,Print
129,American Bankruptcy Law Journal,11.80,0.65,174,1.24,16,Specialized,Refereed,Print
130,Jurimetrics,11.79,0.67,170,1.45,0,Specialized,Refereed,Print
131,Texas A&M Law Review,11.78,0.56,201,0.90,3,General,Student-Edited,Print
132,Berkeley Journal of Employment and Labor Law,11.76,0.77,138,1.13,1,Specialized,Student-Edited,Print
133,South Carolina Law Review,11.74,0.56,199,0.84,13,General,Student-Edited,Print
134,AJIL Unbound [online],11.61,0.25,287,0.47,0,Specialized,Refereed,Online
